sample_date,facility,target,n.bio,n.bio.non.miss,n.bio.miss,n.total,n.total.miss,bio.ct.mean,bio.ct.sd,tech.ct.dists
2020-12-14,B,N1,3,3,0,9,5,36.26352818833333,0.7109181853687071,"A = 35.68 (sd=1.08, n=2); B = 36.06 (sd=NA, n=1); C = 37.06 (sd=NA, n=1)"
2020-12-14,B,N2,3,2,1,9,6,37.455202105,1.4545693413858671,"A = 38.48 (sd=NA, n=1); B = 36.43 (sd=0.22, n=2); C = NA (sd=NA, n=0)"
2020-12-14,C,N1,3,1,2,9,8,34.99859238,NA,"A = 35 (sd=NA, n=1); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2020-12-14,C,N2,3,2,1,9,7,35.945968625000006,0.32354753353672455,"A = 36.17 (sd=NA, n=1); B = 35.72 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2020-12-16,A,N1,3,1,2,9,7,35.543899535,NA,"A = 35.54 (sd=0.48, n=2); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2020-12-16,A,N2,3,2,1,9,5,34.438392003333334,0.44745431913749384,"A = 34.12 (sd=NA, n=1); B = 34.75 (sd=0.79, n=3); C = NA (sd=NA, n=0)"
2020-12-16,B,N1,3,2,1,9,7,36.60721397499999,0.6258692417818085,"A = 37.05 (sd=NA, n=1); B = NA (sd=NA, n=0); C = 36.16 (sd=NA, n=1)"
2020-12-16,B,N2,3,3,0,9,5,34.33979479333333,0.5912136755439317,"A = 34.13 (sd=0.22, n=2); B = 35.01 (sd=NA, n=1); C = 33.88 (sd=NA, n=1)"
2020-12-16,C,N1,3,1,2,9,7,34.97867775,NA,"A = 34.98 (sd=1.18, n=2); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2020-12-16,C,N2,3,3,0,9,3,34.85429255166667,0.41594785162573356,"A = 34.38 (sd=1.19, n=2); B = 35.02 (sd=0.32, n=2); C = 35.16 (sd=0.27, n=2)"
2020-12-21,A,N1,3,2,1,9,6,34.30726147,0.14570131802034,"A = 34.41 (sd=0.03, n=2); B = 34.2 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2020-12-21,A,N2,3,1,2,9,8,36.09857941,NA,"A = NA (sd=NA, n=0); B = 36.1 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2020-12-21,B,N1,3,2,1,9,5,35.10673077833333,0.6787076734407982,"A = 34.63 (sd=NA, n=1); B = NA (sd=NA, n=0); C = 35.59 (sd=1.45, n=3)"
2020-12-21,B,N2,3,2,1,9,7,36.51758194,0.7890537396116464,"A = NA (sd=NA, n=0); B = 35.96 (sd=NA, n=1); C = 37.08 (sd=NA, n=1)"
2020-12-21,C,N1,3,3,0,9,0,34.436377207777774,0.23734952833847014,"A = 34.71 (sd=0.56, n=3); B = 34.27 (sd=0.93, n=3); C = 34.34 (sd=0.09, n=3)"
2020-12-21,C,N2,3,3,0,9,3,35.66598701666667,0.4573559468563561,"A = 35.87 (sd=0.23, n=2); B = 35.98 (sd=0.19, n=2); C = 35.14 (sd=1, n=2)"
2020-12-28,A,N1,3,1,2,9,8,36.16211319,NA,"A = NA (sd=NA, n=0); B = 36.16 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2020-12-28,A,N2,3,2,1,9,6,35.5915870625,0.18092529431739152,"A = 35.46 (sd=NA, n=1); B = NA (sd=NA, n=0); C = 35.72 (sd=0.22, n=2)"
