Parameter1,Parameter2,rho,CI,CI_low,CI_high,S,p,Method,n_Obs
copies_A,n.br_C_N1,-0.3915596059926312,0.95,-0.5634356100937171,-0.18719518374776895,137444.34228389218,1,Spearman correlation,84
copies_A,n.br_C_N2,-0.39280535565525704,0.95,-0.5663583735139339,-0.1858938965515455,127972.34888296068,1,Spearman correlation,82
copies_A,p.pos.br_Total_A,0.7154678530490419,0.95,0.588558001864844,0.8079643609065212,29119.019918961047,1.1703506606066263e-10,Spearman correlation,85
copies_A,p.pos.br_Total_B,0.5298762274918002,0.95,0.35148105709204847,0.6711394234460966,48112.46687848916,0.0011624301456815494,Spearman correlation,85
copies_A,p.pos.br_Total_C,0.4321376554368571,0.95,0.23389920966353078,0.5958797935140777,56087.76377250162,0.21312123022643092,Spearman correlation,84
copies_A,n.br_Total_A,-0.2834054458950357,0.95,-0.4732278923878359,-0.06843344654829853,131343.71333289795,1,Spearman correlation,85
copies_A,n.br_Total_B,-0.283299429980111,0.95,-0.4731384309463586,-0.06831871462212798,131332.86366416456,1,Spearman correlation,85
copies_A,n.br_Total_C,-0.30535609054763296,0.95,-0.49270611495863376,-0.09095202681669916,128930.02106338971,1,Spearman correlation,84
copies_A,percent_recovery_C,-0.04397298716204597,0.95,-0.33790820178658204,0.25777772190102083,16928.021986832577,1,Spearman correlation,46
copies_A,percent_recovery_B,-0.08077887322732845,0.95,-0.3390774055938174,0.18884499843410008,35135.04038974722,1,Spearman correlation,58
copies_A,percent_recovery_A,0.03083037449736612,0.95,-0.23437515448806512,0.2917648420490452,33164.984584700134,1,Spearman correlation,59
copies_A,cg_input_C,0.21068862377798317,0.95,-0.09356154830986797,0.4789491288412569,12798.683965440003,1,Spearman correlation,46
copies_A,cg_input_B,0.07169230986428776,0.95,-0.19764336858729675,0.3309635679278269,30178.354698621868,1,Spearman correlation,58
copies_A,cg_input_A,0.07059133220394415,0.95,-0.19636135280860334,0.3278014529571479,31804.36461198103,1,Spearman correlation,59
copies_A,copies_per_uL_A_N1_rec,0.30573211184023164,0.95,0.04614375652788383,0.5266404086104876,23757.84713282727,1,Spearman correlation,59
copies_A,copies_per_uL_A_N2_rec,0.276543058002164,0.95,0.01183996781705001,0.5050254837818224,23518.861727407653,1,Spearman correlation,58
copies_A,copies_per_uL_A_rec,0.36847411567515587,0.95,0.11647125882722728,0.5759027809700108,21610.815761596165,1,Spearman correlation,59
copies_A,copies_per_uL_B_N1_rec,0.06564436994178176,0.95,-0.20347553435551047,0.32554173166137074,30374.967177562616,1,Spearman correlation,58
copies_A,copies_per_uL_B_N2_rec,0.2955388828959917,0.95,0.03001313805830288,0.5221031672339445,21736.85222936128,1,Spearman correlation,57
copies_A,copies_per_uL_B_rec,0.22092683454633394,0.95,-0.04742854311196575,0.459537441281924,25326.889535733226,1,Spearman correlation,58
copies_A,copies_per_uL_C_N1_rec,0.1351876407562479,0.95,-0.1700396607436972,0.41674648284214927,14022.93240513744,1,Spearman correlation,46
copies_A,copies_per_uL_C_N2_rec,0.18663328841772692,0.95,-0.12191361004068639,0.4622873207544145,12346.906681818908,1,Spearman correlation,45
copies_A,copies_per_uL_C_rec,0.21906318429114627,0.95,-0.08485146584854532,0.48568656665832155,12662.890466719064,1,Spearman correlation,46
copies_A,copies_A_N1_rec,0.43910635753310273,0.95,0.1987867470109506,0.6296145251063452,19193.780445217224,1,Spearman correlation,59
copies_A,copies_A_N2_rec,0.42395065910854557,0.95,0.17847213895021652,0.6197462594789835,18726.78802304029,1,Spearman correlation,58
copies_A,copies_A_rec,0.5090664680039032,0.95,0.28380428945868563,0.681078526202868,16799.74546490643,0.20223969645840564,Spearman correlation,59
copies_A,copies_B_N1_rec,0.1452543181186005,0.95,-0.12514590108163903,0.39556771116961226,27786.927372282415,1,Spearman correlation,58
copies_A,copies_B_N2_rec,0.371149389946803,0.95,0.11464687206761652,0.581256161298597,19403.814423801447,1,Spearman correlation,57
copies_A,copies_B_rec,0.30136733473272537,0.95,0.03890874903665894,0.5249274523901526,22711.849315173833,1,Spearman correlation,58
copies_A,copies_C_N1_rec,0.25255172851132995,0.95,-0.04955071615100605,0.5123155749895726,12119.873722188786,1,Spearman correlation,46
copies_A,copies_C_N2_rec,0.30422609456867733,0.95,0.002800447924372283,0.5549734465215597,10561.847884447478,1,Spearman correlation,45
copies_A,copies_C_rec,0.32285916941558296,0.95,0.02710123560480321,0.5666425262392718,10979.838567926323,1,Spearman correlation,46
copies_A,copies_N1_rec,0.2959913042219721,0.95,-0.006249410733528811,0.5486794025944324,10686.852001910464,1,Spearman correlation,45
copies_A,copies_N2_rec,0.37795553073255117,0.95,0.08234140484259997,0.6124398464774662,8826.811018905099,1,Spearman correlation,44
copies_A,copies_rec,0.4318982841039949,0.95,0.14972409832121225,0.6490165471542647,8623.784047301358,1,Spearman correlation,45
copies_B,copies_C,0.5809978940845337,0.95,0.4134421327454228,0.7104934392614448,41384.838001270604,4.7265623812539936e-5,Spearman correlation,84
copies_B,n.miss_A,-0.3336627279433274,0.95,-0.5152011366957715,-0.12347048219633291,136487.04357772012,1,Spearman correlation,85
copies_B,n.miss_B,-0.5248205275477144,0.95,-0.6672724717981641,-0.3453278554275414,156050.1327892331,0.0015770978673670234,Spearman correlation,85
copies_B,n.miss_C,-0.42092514907162193,0.95,-0.5869679581491803,-0.22090185131120071,140344.77697380408,0.3445706525533383,Spearman correlation,84
copies_B,n_A,-0.20577410223974488,0.95,-0.4066534504066556,0.014084994027499386,123398.92162321549,1,Spearman correlation,85
